15, 11, 3, (width, height, vision depth)
6, 5, 1, (start position: x, y, direction (counterclockwise starting at 0))
8, 5, 1, (exit position: x, y, direction (counterclockwise starting at 0))
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1
1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1
1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1
1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1
1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1
1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
